userId,email,passwordHash,status,idOrCertNumber,role
e78bafd9-c6ae-4809-9843-67cdb022bacb,15@yorku.ca,Pass1!abc,ACTIVE,cert1,HeadLabCoordinator
6c017cdf-8dff-4fc8-ba86-ceefd2e42c9d,man1@gmail.com,Temp123!,ACTIVE,LM-CERT,LabManager
debf47da-522c-44fd-8539-4d8b96ddb381,1@yorku.ca,Pass1!abc,ACTIVE,STU123,Student
8a069410-2ced-453a-9c83-6165f30dc13d,2@yorku.ca,Pass1!abc,ACTIVE,cert1,LabManager
3df82a8d-e736-44bb-b272-eaacc97b0792,3@yorku.ca,Pass1!abc,ACTIVE,cert1,Student
03c19268-bbca-411e-a196-a05f4be24dbf,4@yorku.ca,Pass1!abc,ACTIVE,cert1,LabManager
1faa7d05-0619-4821-95f3-7a3dd7c2b563,5@yorku.ca,Pass1!abc,ACTIVE,cert1,Student
0b52bf84-5c71-431e-a0e1-29cb28cc7caf,6@yorku.ca,Pass1!abc,ACTIVE,cert1,LabManager
75b0fb4a-c77e-4ff6-bbaa-986f49539f6c,7@yorku.ca,Pass1!abc,ACTIVE,cert1,Student
74c044b8-735c-4278-b0ca-39a77762e663,8@yorku.ca,Pass1!abc,ACTIVE,cert1,LabManager
167bed5f-a3c1-47b1-8b45-0822dd10d695,9@yorku.ca,Pass1!abc,ACTIVE,cert1,Student
fbe2543a-b29e-4424-893d-d44015e3fecb,10@yorku.ca,Pass1!abc,ACTIVE,cert1,LabManager
9cebfa14-b01c-4ec2-9e93-a3d4a205f017,11@yorku.ca,Pass1!abc,ACTIVE,cert1,Student
b99aeacd-a97a-448c-832b-0bedfc36d574,12@yorku.ca,Pass1!abc,ACTIVE,cert1,LabManager
d59f2bd9-7908-4336-b117-513cb988c4eb,13@yorku.ca,Pass1!abc,ACTIVE,cert1,LabManager
0c5d236c-0bd2-4bf8-abe2-0089b0432103,14@yorku.ca,Pass1!abc,ACTIVE,cert1,LabManager
9dd5c791-eb4a-4c79-b456-0c58e818def4,20@gmail.com,Pass1!abc,ACTIVE,cert2,Student
258692a3-1a0c-40aa-8bac-084592e2a92e,man2@gmail.com,Pass1!abc,ACTIVE,cert1,LabManager
164ec486-223e-4edb-a314-03792dea38e4,avail2@y.ca,p,ACTIVE,S2,Student
cce47e9d-7102-4ea1-8a8d-b71a464cb056,avail1@y.ca,p,ACTIVE,S1,Student
043e4de8-4f3e-4f01-91b4-9491c4a4cfd2,avail2@y.ca,p,ACTIVE,S2,Student
a6dddf9a-3e06-4b30-b516-5eb23e48fe87,avail1@y.ca,p,ACTIVE,S1,Student
67575535-eb12-42aa-a658-b936e33c1edf,avail2@y.ca,p,ACTIVE,S2,Student
adaa3820-4d7b-4095-a2bc-054efce17227,avail1@y.ca,p,ACTIVE,S1,Student
cf20ebdd-4a64-4d83-b540-422a344f4177,avail2@y.ca,p,ACTIVE,S2,Student
6a2e5389-b4c1-4de1-94cd-bc9160fff1f5,avail1@y.ca,p,ACTIVE,S1,Student
